Content,Dates,Bold,Italic,Short,AllCaps,Quoted,Year
/11 PABLO PICASSO: The Last Years,12/04,0,0,0,0,0,2011
 Mariano Miguel Montanes12/05/11 RED,12/04,0,0,0,0,0,2011
/11 1Q84,12/23,0,0,0,1,0,2011
/11 JAWS: MEMORIES FROM MARTHA'S VINEYARD,12/24,0,0,0,1,0,2011
 Matt Taylor,12/24,0,0,0,0,0,2011
 ALIEN,12/24,0,0,0,1,0,2011
 DANCE WITH A STRANGER12/25/11 THE,12/24,0,0,0,1,0,2011
/11 HOMELAND (2 episdoes),12/30,0,0,0,0,0,2011
/11 RAMPART,12/31,0,0,0,1,0,2011
/12 MAGIC,01/02,0,0,0,1,0,2012
/12 MANHATTAN,01/05,0,0,0,1,0,2012
/12 At,01/06,0,0,0,0,0,2012
/13 THE ASPHALT JUNGLE,01/01,0,0,0,1,0,2013
/13 HOUSE OF CARDS (3 episodes),01/02,0,0,0,0,0,2013
/13 A LIGHT THAT NEVER GOES OUT: THE ENDURING SAGA OF THE SMITHS,01/06,0,0,0,1,0,2013
 Tony Fletcher,01/06,0,0,0,0,0,2013
/13 HOUSE OF CARDS (3 episodes),01/07,0,0,0,0,0,2013
/13HOUSE OF CARDS (4 episodes),01/08,0,0,0,0,0,2013
/13 HOUSE OF CARDS (3 episodes),01/09,0,0,0,0,0,2013
/13 ANOTHER INSANE DEVOTION,01/12,0,0,0,1,0,2013
 Peter Trachtenberg,01/12,0,0,0,0,0,2013
 RIFFIFI,01/12,0,0,0,1,0,2013
/13 47 RONIN,01/14,0,0,0,1,0,2013
/13 VIOLENT SATURDAY,01/15,0,0,0,1,0,2013
/13 THE STRANGE LIFE OF YUKIO MISHIMA,01/20,0,0,0,1,0,2013
 YOKUKO,01/20,0,0,0,1,0,2013
/13 SMASH,01/21,0,0,0,1,0,2013
/13 WRITTEN ON THE WIND,01/22,0,0,0,1,0,2013
/13 PERSONA: A BIOGRAPHY OF YUKIO MISHIMA,01/24,0,0,0,1,0,2013
 Naoki Inose with Hiroaki Sato,01/24,0,0,0,0,0,2013
 IGNORANCE; HOW IT DRIVES SCIENCE,01/24,0,0,0,1,0,2013
 Stuart Firestein,01/24,0,0,0,0,0,2013
 THE CRAWLING EYE,01/24,0,0,0,1,0,2013
/13 DOUBLE INDEMNITY,01/25,0,0,0,1,0,2013
/13 ONE LAST STRIKE,01/27,0,0,0,1,0,2013
 Tony LaRussa with Rick Hummel,01/27,0,0,0,0,0,2013
 GIRLS,01/27,0,0,0,1,0,2013
/13 THOMAS JEFFERSON’S CRÈME BRULEE,02/01,0,0,0,1,0,2013
 Thomas J. Craughwell,02/01,0,0,0,0,0,2013
/13 SMASH,02/06,0,0,0,1,0,2013
/13 VISITORS,02/07,0,0,0,1,0,2013
/13 LE SAMOURAI,02/08,0,0,0,1,0,2013
/13 KOYAANISQATSI,02/09,0,0,0,1,0,2013
/13 CHOKE,02/11,0,0,0,1,0,2013
 Sian Beilcock,02/11,0,0,0,0,0,2013
/13 CASABLANCA,02/14,0,0,0,1,0,2013
 THE STING,02/14,0,0,0,1,0,2013
/13 NW,02/15,0,0,0,1,0,2013
 Zadie Smith,02/15,0,0,0,0,0,2013
/13 GIRLS,02/16,0,0,0,1,0,2013
 ON HER MAJESTY’S SECRET SERVICE,02/16,0,0,0,1,0,2013
/13 STRANGE BODIES,02/17,0,0,0,1,0,2013
 Marcel Theroux,02/17,0,0,0,0,0,2013
 THE FALL AND RISE OF REGINALD PERRIN (2 episodes),02/17,0,0,0,0,0,2013
 GIRLS,02/17,0,0,0,1,0,2013
 ON HER MAJESTY’S SECRET SERVICE,02/17,0,0,0,1,0,2013
/13 AMOUR,02/18,0,0,0,1,0,2013
/13 ON HER MAJESTY’S SECRET SERVICE,02/19,0,0,0,1,0,2013
 MASTERMINDS (7 episodes),02/19,0,0,0,0,0,2013
 SMASH,02/19,0,0,0,1,0,2013
/13 SPITALFIELDS LIFE,02/22,0,0,0,1,0,2013
 The Gentle Author,02/22,0,0,0,0,0,2013
/13 THE FINANCIAL LIVES OF THE POETS,02/23,0,0,0,1,0,2013
 Jess Walter,02/23,0,0,0,0,0,2013
 KING OF HERRINGS,02/23,0,0,0,1,0,2013
/13 POWAQQATSI,02/24,0,0,0,1,0,2013
/13 LIFE OF PI,02/25,0,0,0,1,0,2013
/13 MASTERMINDS (6 episodes),02/26,0,0,0,0,0,2013
 SMASH,02/26,0,0,0,1,0,2013
/13 MASTERMINDS (5 episodes),02/27,0,0,0,0,0,2013
/13 MASTERMINDS (4 episodes),02/28,0,0,0,0,0,2013
 12 ANGRY MEN,02/28,0,0,0,1,0,2013
/13 THE BAD AND THE BEAUTIFUL,03/01,0,0,0,1,0,2013
/13 ISTANBUL PASSAGE,03/02,0,0,0,1,0,2013
 Joseph Kanon,03/02,0,0,0,0,0,2013
/13 BEAUTIFUL CREATURES,03/03,0,0,0,1,0,2013
 MASTERMINDS (3 episodes),03/03,0,0,0,0,0,2013
/13 THE LAST PICTURE SHOW,03/04,0,0,0,1,0,2013
/13 PEOPLE WHO EAT DARKNESS,03/06,0,0,0,1,0,2013
 Richard Lloyd Parry,03/06,0,0,0,0,0,2013
/13 TOP OF THE LAKE (3 episodes),03/08,0,0,0,0,0,2013
 SMASH,03/08,0,0,0,1,0,2013
/13 SERENA,03/09,0,0,0,1,0,2013
/13 INSIDE MEN (4 episodes),03/10,0,0,0,0,0,2013
 GIRLS,03/10,0,0,0,1,0,2013
/13 THE HOT ROCK,03/11,0,0,0,1,0,2013
/13 TOP OF THE LAKE (3 episodes),03/12,0,0,0,0,0,2013
 SMASH,03/12,0,0,0,1,0,2013
/13 THE SAPPHIRES,03/13,0,0,0,1,0,2013
/13 VISITORS,03/14,0,0,0,1,0,2013
 11 HARROWHOUSE,03/14,0,0,0,1,0,2013
/13 THE OUTFIT,03/15,0,0,0,1,0,2013
/13 SEARCHING FOR SUGAR MAN,03/16,0,0,0,1,0,2013
 GOLDFINGER,03/16,0,0,0,1,0,2013
/13 GIRLS,03/17,0,0,0,1,0,2013
/13 SMASH,03/19,0,0,0,1,0,2013
/13 THUNDERBALL,03/20,0,0,0,1,0,2013
/13 FREUD’S NAKED TRUTH,03/22,0,0,0,1,0,2013
