Content,Dates,Bold,Italic,Short,AllCaps
 HOW TO WITH JOHN WILSON,05/25,0,0,0,1
 HUNT V. LAUDA,05/25,1,0,0,1
 DAVE,05/25,0,0,0,1
 WAR AND PEACE PART III,05/25,1,0,0,1
 WANDA SYKES: I’M AN ENTERTAINER,05/26,0,0,0,1
 The Kennedy Imprisonment,05/27,0,1,0,0
 DATELINE,05/27,0,0,0,1
 BEING MARY TYLER MOORE,05/27,1,0,0,1
 SUCCESSION,05/28,0,0,0,1
 SARAH SILVERMAN: SOMEONE YOU LOVE,05/29,0,0,0,1
 The Employees,05/29,0,1,0,0
 THE CURIOUS CASE OF NATALIA GARCIA,05/29,0,0,0,1
 WAR AND PEACE PART IV,05/31,1,0,0,1
 THE CURIOUS CASE OF NATALIA GARCIA (3),05/31,0,0,0,1
 DAVE,06/01,0,0,0,1
 REALITY,06/01,1,0,0,1
 THE GODDESS,06/03,1,0,0,1
 (’58),06/03,0,0,0,0
 DATELINE,06/03,0,0,0,1
 How to Live: A Life of Montaigne,06/04,0,1,0,0
 HELL IN THE PACIFIC,06/04,1,0,0,1
 THE LAST OF THE MOHICANS,06/04,1,0,0,1
 (’92),06/04,0,0,0,0
 APPOINTMENT IN TOKYO,06/04,1,0,0,1
 THE AGE OF INFLUENCE (3),06/05,0,0,0,1
 THE AGE OF INFLUENCE (2),06/07,0,0,0,1
 TOUR DE FRANCE: UNCHAINED (3),06/09,0,0,0,1
 FRENCH OPEN WOMEN’S FINAL,06/10,0,0,0,1
 THE MAYFAIR HOTEL MEGABUILD,06/10,0,0,0,1
 DELIVERANCE,06/10,1,0,0,1
 RUSSIA 1985-1999: TRAUMAZONE (2),06/11,0,0,0,1
 AMY SCHUMER: EMERGENCY CONTACT,06/13,0,0,0,1
 You Can’t Stay Here Forever,06/16,0,1,0,0
 Bad Summer People,06/18,0,1,0,0
 ON HER MAJESTY’S SECRET SERVICE,06/18,1,0,0,1
 BLACK MIRROR (4),06/19,0,0,0,1
 BLACK MIRROR,06/20,0,0,0,1
 SEXY BEAST,06/20,1,0,0,1
 Pandora’s Box,06/23,0,1,0,0
 KING OF CLONES,06/23,1,0,0,1
 I’M A VIRGO,06/23,0,0,0,1
 SISU,06/24,1,0,0,1
 YOU HURT MY FEELINGS,06/24,1,0,0,1
 I’M A VIRGO (6),06/25,0,0,0,1
 TAKE CARE OF MAYA,06/25,1,0,0,1
 X Y &amp; ZEE,06/25,1,0,0,0
 RUSSIA 1985-1999: TRAUMAZONE,06/26,0,0,0,1
 The Imposters,06/28,0,1,0,0
 MAN OF ARAN,06/30,1,0,0,1
 YOJIMBO,06/30,1,0,0,1
 INDIANA JONES AND THE DIAL OF DESTINY,07/02,1,0,0,1
 UNKNOWN: THE LOST PYRAMID,07/03,1,0,0,1
 HOUSE HUNTERS INTERNATIONAL (3),07/03,0,0,0,1
 The Librarianist,07/04,0,1,0,0
 TOM SEGURA: SLEDGEHAMMER,07/04,0,0,0,1
 THE SMALL BACK ROOM,07/04,1,0,0,1
 THE KING WHO NEVER WAS (3),07/05,0,0,0,1
 HOUSE HUNTERS INTERNATIONAL (3),07/05,0,0,0,1
 RAIDERS OF THE LOST ARK,07/07,1,0,0,1
 (B&amp;W version),07/07,0,0,0,0
 LORD LUCAN: MY HUSBAND,07/10,0,0,0,1
 THE TRUTH,07/10,0,0,0,1
 THE KILLER ,07/11,1,0,0,1
(’23),07/11,0,0,0,0
 QUARTERBACK (2),07/12,0,0,0,1
 THE JEWEL THIEF,07/13,1,0,0,1
 QUARTERBACK,07/13,0,0,0,1
 DESTRY RIDES AGAIN,07/14,1,0,0,1
 ,07/14,0,0,0,0
BORIS,07/14,0,0,0,1
 THE LORD AND THE RUSSIAN SPY,07/14,0,0,0,1
 QUARTERBACK (2),07/14,0,0,0,1
 SINCERELY YOURS,07/14,1,0,0,1
5 MISSION IMPOSSIBLE: DEAD RECKONING PART ONE,07/15,1,0,0,1
 QUARTERBACK,07/15,0,0,0,1
 BETRAYAL: THE PERFECT HUSBAND (3),07/15,0,0,0,1
 QUARTERBACK,07/17,0,0,0,1
 UNKNOWN: CAVE OF BONES,07/17,0,0,0,1
 CASQUE D’OR,07/18,1,0,0,1
 PEPSI,07/21,0,0,0,1
 WHERE’S MY JET? (4),07/21,0,0,0,1
